"shipment_id","origin_warehouse","destination_city","destination_state","carrier","ship_date","delivery_date","weight_kg","freight_cost","shipment_status","items_count","damage_reported","transit_days","date_check"
"SHP-1001","Warehouse A","Dallas","TX","Fastfreight","2024-01-10","2024-01-14","120.50","450","Delivered","48","No",4,"Valid"
"SHP-1002","Warehouse B","Los Angeles","CA","Speedyhaul","2024-01-12","2024-01-11","85.30","320","Delivered","30","No",-1,"Invalid"
"SHP-1004","Warehouse C","Chicago","IL","Fastfreight","2024-01-15","2024-01-19","200.00","610","In Transit","75",NULL,4,"Valid"
"SHP-1005","Warehouse A","Houston","TX","Quickship",NULL,"2024-01-20","141","280","Delivered","20","Yes",NULL,"Missing date"
"SHP-1006","Warehouse B","Phoenix","AZ","Speedyhaul","2024-01-18","2024-01-23","95.00","1113","Delivered","53","No",5,"Valid"
"SHP-1007","Warehouse D","Seattle","WA","Quickship","2024-01-20","2024-01-25","310.80","980","Delivered","110","Yes",5,"Valid"
"SHP-1008","Warehouse C","Denver","CO","Fastfreight","2024-01-22","2024-01-27","150.00","520","Pending","55","No",5,"Valid"
"SHP-1009","Warehouse B","Miami","FL","Speedyhaul","2024-01-25","2024-02-01","88.70","345","Delivered","33",NULL,7,"Valid"
"SHP-1010","Warehouse A","Dallas","TX","Fastfreight","2024-02-01","2024-02-05","175.30","590","Delivered","65","No",4,"Valid"
"SHP-1011","Warehouse D","Portland","OR","Quickship","2024-02-03","2024-02-08","60.00","210","Cancelled","15","No",5,"Valid"
"SHP-1012","Warehouse B","Los Angeles","CA","Speedyhaul","2024-02-05","2024-02-10","85.30","320","Delivered","30","No",5,"Valid"
"SHP-1013","Warehouse C","Unknown","IL","Fastfreight","2024-02-08","2024-02-12","225.00","670","Delivered","80","Yes",4,"Valid"
"SHP-1014","Warehouse D","San Francisco","CA","Quickship","2024-02-10","2024-02-15","140.60","485","In Transit","52","No",5,"Valid"
"SHP-1015","Warehouse A","Houston","TX","Fastfreight","2024-02-12","2024-02-16","98.40","370","Delivered","40","No",4,"Valid"
"SHP-1016","Warehouse B","Phoenix","AZ","Speedyhaul","2024-02-14","2024-02-19","95.00","988.75","Delivered","35","Yes",5,"Valid"
"SHP-1017","Warehouse C","Denver","CO","Quickship","2024-02-18","2024-02-23","141","1113","Pending","53",NULL,5,"Valid"
"SHP-1018","Warehouse D","Seattle","WA","Quickship","2024-02-20","2024-02-25","310.80","980","Delivered","110","No",5,"Valid"
"SHP-1019","Warehouse A","Atlanta","GA","Fastfreight","2024-02-22",NULL,"165.00","540","In Transit","60","No",NULL,"Missing date"
"SHP-1020","Warehouse B","Miami","FL","Speedyhaul","2024-02-25","2024-03-02","72.10","265","Delivered","28","No",6,"Valid"
"SHP-1021","Warehouse C","Chicago","IL","Fastfreight","2024-03-01","2024-03-05","190.00","600","Delivered","70","No",4,"Valid"
"SHP-1022","Warehouse D","Portland","OR","Quickship","2024-03-03","2024-03-08","55.40","195","Cancelled","22","No",5,"Valid"
"SHP-1023","Warehouse A","Dallas","TX","Fastfreight","2024-03-05","2024-03-09","120.50","450","Delivered","48","Yes",4,"Valid"
"SHP-1024","Warehouse B","Los Angeles","CA","Speedyhaul","2024-03-07","2024-03-12","130.20","460","Delivered","50","No",5,"Valid"
"SHP-1025","Warehouse C","San Francisco","CA","Quickship","2024-03-10","2024-03-15","145.90","500","Delivered","54","No",5,"Valid"
